"Title:","Average Weekly Earnings of All Employees from the State and Metro Area Employment, Hours, and Earnings Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","01/2007 - 09/2022"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"10/2014",734.98,940.92,675.99,909.57,937.83,654.59,796.8,889.66,703.08,279.1,704.87,948.05,1142.66,913.21,1151.44,1149.32,764.9,1510.94,1237.65,1231.88,940.56,422.39,717.71,758.21,903.6,740.69,881.25,925.4,657.04,972.39,922.21,841.44,385.3,624.02,952.22,1147.46,928.95,1311.38,1038.93,782.84,1509.2,1540.08,1214.17,789.84,503.72,777.08,755.42,882.79,726.55,860.28,896.33,697.69,1184.77,1060.21,950.04,711.01,321.62,570.11,894.5,1209.6,788.88,1275.44,915.4,900.73,853.77,1112.19,759.35,324.97,585.88,874.33,1127.53,815.71,1061.71,1108.03,786.94,1020.6,1060.7,791.57,350.42,685.25,789.59,855.62,773.6,868.82,850.71,640.86,1074.18,892.05,406.61,725.17,1021.34,653.52,1356.13,1128.28,941.07,871.43,654.94,742.66,737.03,746.74,279.2,686.7
"11/2014",750.45,944.09,696.31,937.3,936.27,654.03,830.77,932.48,738.47,286.67,691.77,981.75,1153.62,949.05,1135.88,1173.41,789.54,1566.43,1292,1301.62,973.21,438.95,736.07,770.89,914.31,753.94,882.17,948.44,667.28,1012.27,942.29,849.32,400.16,639.61,976.82,1153.14,958.1,1317.16,1042.56,777.29,1567.65,1664.57,1265.92,797.04,511.98,814.98,774.66,898.45,747.39,866.91,915.04,708.62,1290.02,1049.71,992.05,743.1,323.7,593.92,897.34,1179.46,803.09,1182.14,914.49,923.89,898.61,1102.14,768.92,334.61,599.9,895.56,1128.32,841.71,1065.74,1085.7,803.31,1093.76,1105.54,802.03,356.58,707.29,789.6,861.31,773.71,882.78,848.58,652.51,1106.8,887.44,369.48,725.77,998.73,659.6,1344.42,1107.87,908.35,846.71,640.85,748.25,746.43,756.76,277.61,700.49
"01/2015",737.44,929.06,682.52,889.73,934.65,647.06,801.79,903.87,720.2,280.9,667.84,958.89,1146.15,925.41,1146.68,1157.6,782.94,1525.94,1247.52,1252.44,950.05,423.19,721.37,761.11,906.59,744.37,854.96,966.22,673.55,993.02,906.5,842.75,412.08,638.96,964.13,1147.46,942.91,1308.82,1047.81,776.22,1471.05,1589.9,1245.38,795.64,503.03,793.1,752.74,868.87,725.86,835.88,890.38,698.31,1207.49,1006.15,947.48,726,314.73,575.97,861.47,1129.22,778.11,1189.34,831.61,900.28,887.81,1030.4,769.36,315.77,558.27,879.4,1128.99,819.38,1070.6,1095.33,791.54,1053.94,1059.03,793.88,349.14,695.69,775.45,851.56,757.63,826.06,867.92,661.32,1061.59,896.73,375.15,719.3,983.42,657.69,1422.76,1146.16,878.21,786.21,630.65,723.14,705.95,783.51,281,689.19
"02/2015",754.73,938.54,703.38,905.95,945.98,660.51,842.77,937.95,739.48,295.74,696.82,984.88,1145.38,956.23,1138.8,1158.67,802.52,1592.2,1288.6,1314.31,967.3,442.51,752.19,781.79,907.63,766.57,865.03,954.59,691.72,1053.41,937.8,851.88,423.99,646.15,981.01,1116.44,968.03,1252.76,1037.12,792.76,1509.08,1668.36,1293.98,795.64,510.01,828.96,771.23,877.09,746.67,854.49,889.76,720.94,1324.96,1038.7,983,729,315.08,585.62,865.9,1087.27,799.2,1077.18,854.73,902.86,915.75,1077.5,788.44,336.03,582.12,903.81,1141.8,847.83,1089.34,1106.81,822.45,1118.35,1099.48,810.28,367.65,711.33,781.11,851.74,767.33,834.02,863.36,651.38,1116.48,912.88,389.13,714.1,961.22,659.35,1331.76,1085.2,849.66,811.88,646.81,732,690.16,775.38,284,671.21
"03/2015",751.54,933.38,699.28,892.98,942.42,651.36,850.18,933.65,724.76,293.93,720.92,983.5,1150.71,954.91,1159.15,1158.3,794.24,1570.43,1295.78,1323.7,952.82,442.51,758.81,779.02,922.59,760.92,885.71,964.42,680.34,1077.89,931.87,855.71,418.44,653.39,981.89,1159.73,960.48,1341.17,1045.38,793.1,1501.5,1657.37,1281.13,789.59,505.4,830.22,765.71,884.3,738.14,878.94,892.1,703.48,1283.57,1077.23,970.72,722.02,317.98,598.44,870.06,1139.47,792.23,1169.14,867.19,882.15,925.28,1071.37,780.69,332.53,604.49,890.34,1114.69,838.11,1033.54,1099.17,817.64,1129.79,1096.83,803.88,365.69,698.63,788.04,873.66,770.72,858.68,883.07,661.25,1112.32,918.5,374.54,719.68,983.66,660.29,1393.63,1130.38,889.82,806.25,649.17,723.16,707.52,773.66,291.54,677.95
"04/2015",745.54,930.3,693.12,889.15,939.5,659.99,826.16,920.17,729.52,296.98,661.67,960.06,1142.66,927.62,1152.76,1149.72,788.83,1550.21,1236.89,1277.68,931.26,434.96,724.08,769.01,912.61,750.62,879.98,947.9,680.93,1026.19,923.46,848.42,407.26,637.96,971.38,1152.61,947.85,1334.25,1027.83,795.94,1489.18,1605.43,1234.76,796.27,516.19,817.75,756.46,875.05,730.29,868.92,884.83,705.21,1274.85,1050.38,951.48,716.79,319.28,568.56,873.3,1110.98,804.58,1175.71,860.78,901.64,906.85,1101.31,799.19,324.16,580.61,874.8,1116.22,818.29,1057.53,1098.17,806.67,1089.41,1065.66,790.48,358.42,669.93,799.03,882.38,782.46,866.88,886.92,661.01,1085.4,910.91,396.91,717.25,993.51,653.25,1371.22,1131.46,928.77,822.2,658.17,756.3,690.16,766.59,290.42,679.9
"05/2015",749.05,935.75,695.23,913.28,933.98,658.78,826.96,926.68,729.6,295.9,680.03,961.77,1137.54,929.63,1128.22,1156.96,796.22,1540.45,1233.94,1281.28,927.63,436.04,734.45,769.84,918.9,751.41,888.27,951.82,694.14,1020.46,918.92,841.81,400.04,637.04,964.49,1164.46,942.69,1355.63,1022.67,781.57,1473.61,1608.38,1236.71,791.12,510.22,830.34,763.28,887.54,733.26,892.03,886.03,702.42,1269.14,1078.37,953.64,733.19,319.61,589.37,870.97,1105.13,803.22,1146.84,863.87,890.7,904.59,1121.49,794.95,337.95,603.24,869.22,1105.79,814.89,1036.89,1086.19,802.44,1082.74,1062.06,795.44,359.12,667.08,808.36,887.62,790.4,856.27,902.35,673.34,1067.09,907.36,406.83,722.75,1018.05,653.25,1363.92,1136.7,959.22,863.5,657.72,743.66,695.91,774.35,291.67,653.02
"06/2015",751.18,936.58,697.93,922.13,934.4,655.14,851.51,933.3,734.6,297.02,671.64,963.59,1145.22,930.79,1158.41,1145.66,795.08,1527.45,1231.36,1287.33,926.97,437.13,732.69,764.18,918.29,746.16,892.02,947.09,686.69,1018.58,914.99,836.62,390.29,657.15,961.12,1161.66,935.55,1367.18,1009.17,775.97,1465.31,1593.99,1228.79,791.68,491.85,822.67,760.51,878.72,732.83,902.97,866.8,710.02,1273.04,1062.2,947.35,732.55,319.99,578.73,873.32,1139.14,796.54,1241.66,860.86,889.29,894.54,1094.8,796.51,341.36,609.41,872.18,1130.78,814.14,1082.07,1085.09,802.44,1080.58,1066.5,793.81,358.12,646.9,805.06,882.63,786.31,850.7,898.78,675.7,1064.83,905.43,414.14,718.94,1001.57,653.52,1345.86,1137.58,983.76,830.31,665.23,725.78,690.62,766.94,296.37,660.62
"07/2015",751.54,934.75,700.96,921.99,931.94,658.95,848.7,929.24,738.26,293.76,643.61,964.97,1145.99,932.14,1165.31,1145.7,797.69,1541.98,1217.71,1290.95,930.27,435.77,732.48,771.21,922.49,752.41,891.8,956.61,697.63,1022.11,919.9,841.46,395.87,662.9,963.98,1168.7,937.39,1391.14,996.26,779.87,1502.28,1579.4,1214.66,803.07,495.08,824.25,762.45,873.79,737.22,891.46,861.41,714.14,1260.97,1091.9,956.58,732.16,318.42,585,890.66,1154.37,811.52,1230.32,890.03,903.24,958.74,1106.69,797.07,338.85,612.29,871.09,1122.16,814.48,1049.76,1093.53,810.94,1090.18,1074.88,795.44,354.15,633.4,808.83,890.27,788.84,872.08,900.02,684.08,1091.9,901.82,416.59,724.5,982.4,664.17,1350.18,1112.38,935.55,817.5,666.16,786.96,708,784.55,298.89,672.01
"08/2015",768.62,947.36,717.86,928.51,949.7,668.68,867.5,966.44,749.01,292.9,681.41,996.16,1164.24,964.65,1185.29,1159.52,823.19,1591.76,1265.78,1346.27,955.19,451.92,769.91,786.6,939.54,767.6,913.57,971.56,703.14,1067.42,948.16,845.63,396.76,678.15,986.33,1163.76,964.32,1382.92,987.45,789.14,1585.22,1670.61,1266.92,801.69,502.28,849.92,790.1,889.35,766.75,907.49,877.73,738.15,1325.82,1161.64,995.67,755.63,327.28,599.74,915.84,1196.38,834.62,1286.07,937.67,912.24,995.35,1145.63,811.74,356.08,645.52,899.88,1140.19,845.44,1068.98,1105.6,830.82,1151.91,1096.79,814.19,361.05,659.23,810.86,888,791.79,854.27,907.44,682.07,1098.11,903.5,427.45,733.57,1017.62,666.87,1348.26,1147.22,1001.3,857.85,674.28,841.01,715.88,777.08,298.55,676.84
"09/2015",761.1,934.32,712.92,910.27,952.2,664.61,858.58,947.96,741.15,286.78,642.87,961.48,1123.84,934.57,1099.7,1146.13,808.47,1531.35,1227.29,1277.7,930.77,436.04,745.39,772.92,904.03,756.58,871.34,949.21,703.84,1026.48,928.19,845.62,384.75,662.5,967.19,1147.15,944.01,1346.16,985.3,794.76,1514.1,1598.25,1217.07,798.65,502.71,851.45,767.63,865.37,745.19,883.48,857.67,733.91,1290.53,1143.75,951.2,714.87,317.7,587.66,896.9,1151.22,824.02,1197.99,937.45,907.49,895.19,1121.28,818.52,338.66,610.5,864.78,1082.62,815.31,980.19,1094.58,812.06,1079.91,1042.17,789.41,350.24,633.43,808.02,878.75,791.99,836.76,905.61,693.26,1071.08,908.21,421.57,724.88,990.19,662.93,1302.91,1098.67,952.5,853.51,674.02,777.5,724.64,768.12,297.79,661.44
"10/2015",771.85,964.69,717.74,960.15,968.84,661.37,870.47,943.56,754.42,287.94,660.45,972.56,1167.21,936.77,1187.17,1159.43,803.78,1526.18,1229.12,1295.18,933.82,437.11,743.27,777.82,931.52,757.58,917.89,953.54,685.71,1024.31,936.28,852.15,394.85,675.62,971.57,1181,946.99,1399.41,997.04,793.51,1505.9,1614.92,1234.7,786.34,514.21,839.08,778.85,882.01,755.01,915.53,862.76,742.86,1297.07,1160.08,962.2,724.5,322.56,577.73,909.78,1184.48,832.33,1264.25,950.13,906.46,944.65,1134.71,821.39,342.72,607.99,877.1,1128.14,822.5,1051.24,1115.52,809.19,1089.41,1059.1,795.66,355.56,634.72,810.43,890.57,793.63,858.05,912.11,685.44,1067.85,923.18,424.76,730.1,1027.09,662.59,1360.29,1171.46,1032.15,853.21,681.63,770.34,725.78,760.77,299.9,662.15
"11/2015",779.75,964.94,728.53,962.44,969.34,661.37,912.5,957.92,779.88,285.86,664.13,999.65,1168.94,970.42,1166.19,1170.13,822.17,1568.32,1290.87,1355.57,960.93,447.99,751.78,792.81,948.11,772.4,937.06,964.01,688.74,1076.35,960.84,858.89,404.97,692.31,996.2,1186.5,972.94,1404.65,1000.76,809.37,1554.83,1658.05,1292.28,799.68,525.65,852.3,793.94,883.19,772.56,898.32,873.08,732.03,1370.84,1227.68,1008.15,736.78,323.07,594.75,904.39,1157.1,835.83,1161.12,947.92,884.97,1024.22,1115.1,834.23,350.65,656.77,898.63,1140.98,845.5,1054.58,1117.58,813.54,1152.61,1097.17,815.72,363.09,659.6,818.18,904.4,797.59,856.46,936.05,692.92,1085.7,953.37,381.65,736.05,1006.14,675.63,1382.14,1126.49,939.49,862.98,676.16,815.08,761.03,772.62,299.19,668.2
"01/2016",779.94,961.14,728.39,948.68,969.44,664.95,911.12,971.75,763.64,285.24,655.74,977.78,1159.62,944.55,1156.59,1160.4,804.69,1531,1239.84,1301.27,947.32,444.41,738.99,777.37,918.02,758.44,892.43,987.8,693.94,1027.03,937.91,849.38,407.38,682.26,979.62,1168.09,957.43,1397.63,1004.7,796.2,1504.8,1566.23,1263.59,811.17,510.54,836.77,780.38,865.83,760.18,870.28,861.73,722.4,1350.62,1207.5,989.25,726.4,316.16,580.56,872.62,1110.4,813.04,1078.87,939.69,873.47,939.14,1030.68,831.39,339.38,628.86,881.4,1136.75,826.28,1070.16,1116.84,807.41,1125.2,1072.01,795.74,358.06,653.35,813.12,916.8,792,859.83,954.79,710.14,1081.23,969.89,386.86,724.76,988.79,668.32,1361.18,1112.74,917.58,857.21,661.51,758.27,718.17,787.64,293.37,644.96
"02/2016",779.28,967.78,725.12,925.12,983.97,664.39,895.58,954.04,767.04,292.49,661.37,982.35,1151.15,953.9,1155.43,1147.13,816.43,1511.08,1268.99,1313.58,947.98,451.31,742.6,782.5,916.08,766.75,901.7,969.6,696.66,1053.36,944.12,852.95,419.41,692.72,979.73,1137.41,962.03,1337.28,996.62,800.87,1490.22,1620.97,1261.67,806.11,521.59,845.15,789.82,872.02,771.72,858.39,876.55,727.6,1421.98,1274.35,999.6,718.01,324.87,581.74,865.12,1110.6,806.52,1110.42,931,854.42,920.31,1013.47,820.1,338.4,632.23,875.67,1129.62,821.1,1055.03,1125.07,806.11,1114.56,1072.01,788.48,366.93,664.02,802.76,902.1,782.08,859.4,929.1,679.87,1068.01,950.21,402.6,727.9,977.11,675.68,1297.81,1085.91,913.17,861.85,655.98,780.47,721.01,796.95,304.59,668.41
"03/2016",770,948.89,718.59,893.03,966.61,659.69,902.84,944.99,754.75,295.61,676.54,976.41,1146.32,947.05,1123.95,1160.17,800.96,1494.45,1249.64,1311.71,949.85,451.76,747.18,790.7,921.59,772.85,887.78,990.47,715.29,1052.86,944.66,854.35,421.39,696.06,976.02,1186.16,949.64,1435.26,1002.13,793.74,1467.55,1589.02,1244.22,796.3,525.98,837.76,796.45,894.89,774.41,911.66,880.75,740.65,1332.83,1239.17,1022.81,716.69,326.39,593.43,855.31,1129.55,790.62,1159.48,939.23,844.32,909.32,1008.07,799.16,332.87,621.13,865.91,1101.15,816,1014.25,1119.43,813.49,1115.35,1061.79,783.15,365.22,661.3,799.8,906.95,775.81,849.78,942.78,681.93,1054.2,938.45,383.94,731.85,1009.42,673.97,1345.96,1140.5,990.86,867.02,677.76,757.4,724.89,771.17,315.72,659.37
"04/2016",783.49,963.79,733.94,930.3,975.8,675.92,945.38,945.76,778.6,290.68,666.59,987.62,1164.78,955.92,1160.22,1172.33,823.2,1495.19,1243.28,1331.01,954.71,450.77,739.12,788.65,940.1,768.83,903.26,1005.89,703.12,1012.62,963.92,857.15,418.6,705.07,971.03,1182.34,946.67,1405.86,1007.22,797.54,1449.07,1539.36,1245.73,796.62,540.36,827.6,801.52,898.98,778.74,899.09,899.4,745,1389.13,1242.78,1028.16,731.84,326.91,602.83,876.55,1139.64,811.09,1171.11,933.66,880.34,954.62,1038.96,795.99,339.53,654.66,869.71,1140.1,813.25,1070.55,1140.42,806.56,1113.4,1066.52,789.87,360.64,659.94,814.52,913.14,793.61,871.88,935.36,691.11,1064.12,934.65,384.93,734.29,1018.58,674.9,1324.79,1144.29,1025.4,881.01,696.26,755.09,742.92,757.33,311.95,668.53
"05/2016",791.18,979.67,739.97,925.6,997.61,670.14,986.37,972.73,765.05,293.63,657.4,1017.1,1179.91,987.5,1184.37,1186.03,838.02,1561.15,1318.37,1384.42,974.44,471.68,756.93,800.22,939.66,780.86,905.59,1002.69,704.44,1064.61,981.02,853.65,412.62,718.76,982.13,1186.54,957.99,1387.14,1028.87,797.33,1493.9,1619.42,1260.56,797.54,544.78,847.92,815.1,903.07,795.54,909.17,899.81,755.42,1401.91,1293.6,1044.32,759.78,329.47,611.76,897.28,1154.65,830.33,1214.96,930.97,896.33,1007,1104.23,802,349.69,680.35,893.05,1181.72,833.41,1105.96,1160.93,813.02,1173.6,1110.27,799.01,369.94,668.32,824.72,916.94,802.62,885.5,935.86,698.31,1076.04,934.84,402.29,722.78,985,668.78,1292.2,1113.64,994.27,847.5,680.94,757.91,749.57,755.3,314.9,660.21
"06/2016",782.13,976.93,728.73,935.33,989.17,673.48,941.44,946.08,775.63,299.72,645.46,986.59,1179.06,952.22,1196.96,1178.78,818.96,1502.55,1227.13,1328.66,952.51,460.26,732.8,787.5,929.39,768.9,886.24,1011.99,717.24,1006.13,965.33,843.9,408.85,719.36,962.46,1178.36,934.8,1383.41,1012.37,784.91,1413.5,1519.34,1230.26,797.86,533.92,833.79,804.89,909.95,780.78,918.93,904.71,758.78,1344.03,1248.71,1024.88,739.2,329.45,602.4,874.34,1137.1,805.57,1205.33,938.12,881.81,940.91,1034.52,791.18,340.52,621,875.52,1164.93,813.79,1108.48,1149.41,804.88,1097.09,1075.16,792.03,364.08,651.78,810.82,919.86,786.44,875.16,949.07,685.08,1052.44,919.97,408.43,727.89,1018.48,665.87,1252.03,1138.38,1067.23,887.81,681.64,740.88,750.88,751.87,315.32,669
"07/2016",791.03,969.44,740.04,919.49,985.42,678.11,949.66,969.03,795.29,297.19,646.72,993.95,1178.42,959.44,1214.75,1166.68,825.53,1506.26,1239.64,1341.58,954.83,463.95,735.13,788.05,953.94,764.86,915.26,1027.82,693.31,1015.69,967.67,847.37,413.48,729.74,977.64,1186.16,952.62,1406.09,1004.12,801.74,1422.06,1541.4,1257.74,810.56,534.68,839.95,806.18,898.42,785.51,915.55,901.32,763.49,1392.88,1262.01,1025.18,732.89,333,603.88,885.54,1133.41,819.72,1176.75,929.45,888.89,988.57,1037.82,795.52,341.17,684.06,875.96,1159.44,814.89,1088.28,1157.31,798.34,1118.81,1076.74,789.91,364.94,644.15,814.3,913.26,790.02,876.31,946.89,692.54,1052.83,917,426.4,737.42,1007.74,681.12,1225.54,1127.15,1065.7,877.66,699.86,734.16,762.01,780.57,316.68,661.26
"08/2016",779.15,963.63,727.58,890.19,989.12,663.34,924.9,963.49,783.52,295.15,645.92,998.09,1188.4,963.48,1220.5,1178.54,827.08,1503.68,1274.78,1341.36,958.37,462.95,746.82,789.57,957.17,767.59,914.94,1037.59,688.38,1070.85,952.83,845.21,407.71,723.88,992.37,1184.26,968.11,1400.18,1003.62,832.32,1456.71,1605.26,1265.22,806.99,548.52,834.44,809.03,895.64,788.77,908,902.25,761.08,1349.66,1289.56,1021.27,753.6,335.39,605.09,894.49,1189.39,814.1,1248.91,959.5,857.84,1006.28,1064.93,796.64,344.36,680.48,874.24,1152.68,814.94,1096.85,1134.77,790.32,1118.04,1066.71,789.75,364.94,653.44,806.13,909.22,783.68,852.01,955.58,693.17,1016.75,906.85,427.98,734.27,1027.18,673.13,1306.94,1144.24,1045.71,898.56,689.95,727.18,762.49,769.55,315.63,670.08
"09/2016",784.27,968.3,733.12,899.95,992.58,661.87,977.42,969.42,787.07,294.53,653.02,1001.22,1191.16,967.48,1213.17,1184.69,830.72,1530.42,1282.27,1345.89,968.93,456.04,741.44,791.28,972.39,768.57,942.08,1034.8,683.52,1051.73,973.8,852.61,405.38,733.13,984.38,1185.8,959.57,1406.47,994.67,805.78,1444.37,1545.49,1267.2,815.3,555.47,832.55,811.44,895.85,792,922.84,890.64,763.05,1391.76,1271.18,1031.04,755.63,331.79,607.92,889.91,1169.85,813.7,1225.25,953.99,868.31,1021.57,1094.01,790.02,324.72,694.38,879.96,1166.63,820.1,1101.49,1156.19,798.42,1117.82,1069.07,797.55,362.21,652.35,822.35,918.08,801.77,890.89,941.36,693.5,1053.7,944.95,427.13,740.96,1026.37,681.66,1314.51,1153.46,1054.79,887,702.9,743.55,761.76,776.3,313.5,680.7
"10/2016",806.76,985.17,755.82,917.15,1012.35,672.28,1001.68,991.89,796.92,305.89,693.35,1035.3,1214.84,1003.96,1236.18,1209,860.99,1574.25,1343.1,1408.59,992.31,469.37,784.34,811.23,981.32,789.16,948.96,1047.01,685.83,1104.38,1012.51,869.21,412.92,726.61,1000.55,1176.94,980.73,1377.14,1005.48,808.52,1527.86,1655.4,1310.9,812.13,559.48,845.37,826.9,906.19,807.19,927.99,903.54,765.14,1450.38,1294.59,1057.01,772.74,334.88,614.15,912.25,1212.95,830.94,1283.4,990.62,881.57,1093.08,1147.09,789.08,338.12,672.71,911.46,1191.96,852.25,1108.91,1179.36,814.93,1207.2,1130.22,811.47,373.54,677.32,828.35,918.84,809.5,899.38,936.12,689.31,1074.76,941.81,442.63,754.02,1061,689.77,1391.5,1188.1,1063.08,916.36,714.49,795.31,804.08,772.1,312.16,685.8
"11/2016",784.37,957.08,737.02,890.23,985.21,655.26,977.89,976.06,786.95,302.63,655.26,1002.4,1188.1,967.93,1192.43,1196,829.57,1525.55,1293.41,1347.48,966.93,453.78,758.75,805.46,994.4,780.53,968.8,1049.36,677.23,1089.4,992.16,859.18,426.73,713.76,984.57,1160.08,964.26,1347.16,1000.74,800.38,1506.62,1596.38,1259.54,806.72,557.23,858.7,816.62,909.56,796.95,922.28,910.62,762.58,1382.76,1239.94,1020.31,784.52,336.96,608.24,875.86,1125.43,813.04,1142.5,955.51,863.19,999.97,1082.15,803.88,335.84,658.05,882.52,1160.79,824.57,1080.35,1149.78,789.17,1145.76,1078.6,805.07,369.65,655.31,821.51,925.34,798.46,900.13,945,686.07,1046.85,951.69,411.88,746.6,1040.35,686.77,1297.34,1137.2,1031.68,930.23,704.17,796.62,785.66,768.47,310.18,692.83
"01/2017",798.13,962.88,752.73,876.74,1002.35,665.98,1034.28,997.15,790.05,298.54,664.29,1031.9,1186.5,1005.72,1160.72,1204.85,857.82,1598.29,1296.74,1416.05,998.64,468.43,803.27,822.16,1007.41,796.99,976.29,1057.94,685.98,1108.61,1023.46,871.22,433.85,695.05,1010.36,1153.79,992.31,1340.28,1001.28,811.52,1537.97,1652.8,1349.8,823,543.13,866.14,815.32,888.57,799.01,861.49,911.88,761.96,1450.46,1274.13,1035.6,765.94,321.52,621.06,885.1,1122.99,830.94,1095.71,936.71,869.16,1145.17,1016.77,790.72,363.71,624.38,913.32,1175.71,859.56,1079.9,1135.94,811.01,1206.58,1129.13,828.58,364.28,692.24,815.63,933.24,792.5,882,968.22,703.56,1061.12,934,407.12,755.77,1016.06,701.44,1261.58,1078.14,933.83,953.18,695.26,812.49,798.02,799.74,298,676.5
"02/2017",790.24,960.22,742.9,900.14,985.73,656.98,995.33,978.68,782.25,307.54,690.47,1012.18,1196.81,980.96,1180.41,1206.9,828.45,1546.34,1256.7,1376.41,982.56,460.72,789.08,817.71,1002.99,792.95,973.91,1051.95,684.32,1088.87,1014.69,869.36,443.59,691.31,992.34,1130.25,974.41,1306.62,985.84,802.76,1519.04,1628.77,1297,819.51,535.84,859.61,820.44,901.73,800.91,910.14,914.8,753.93,1445.96,1274.24,1027.42,783.43,329.73,637.47,871.91,1103.59,817.93,1097.92,908.01,868.66,1043.1,1011.95,792.55,342.23,634.39,891.37,1157.44,836.81,1066.39,1122.1,795.44,1145.55,1096.64,819.87,363.35,681.98,797.83,915.29,774.21,857.95,953.81,688.03,1043.86,907.52,422.03,754.69,1040.91,695.3,1278.96,1127.23,1005.26,956.45,704,786.21,797.2,780.75,308.14,672.07
"03/2017",787.07,963.91,737.86,887.54,996.83,651.63,972.9,980.5,774.36,307.58,661.65,1012.32,1220.84,977.2,1248.8,1205.42,823.8,1552.96,1238.52,1375.05,983.56,459.36,798.01,815.65,1002.1,790.27,980.27,1043.66,690.04,1059.19,1013.04,855.98,455.88,684.09,983.67,1129.86,967.46,1301.6,990.33,799.47,1481.89,1603.08,1290,817.23,540.05,844,819.43,911.02,798.15,908.9,912.42,772.11,1386.38,1236.82,1033.47,761.09,335.4,647.68,870.69,1109.56,815.75,1110.46,928.1,869.46,1050.54,1040.13,785.89,344.19,625.26,894.98,1164.66,836.87,1066.38,1139.29,786.13,1155.51,1084.12,816.52,366.36,688.46,789.9,903.21,766.3,850.73,938.96,676.36,1028.64,904.81,402.71,756.76,1010.81,703.8,1226.75,1078,960.73,940.03,710.24,795.48,812.49,797.96,305.66,684.37
"04/2017",801.86,981.65,750.96,880.77,1007.75,677.96,998.46,993.84,768.25,307.95,673.2,1048.75,1225.73,1018.02,1219.17,1235.39,861.48,1630.34,1327.01,1438.37,1009.8,474.25,825.55,834.55,1004.26,811.23,971.1,1054.38,708.96,1109.47,1048.8,872.62,450.26,682.11,1015.05,1169.15,997.26,1347.95,1001.47,820.3,1557.39,1697.22,1339.64,818.85,556.38,870.48,840.09,910.67,824.77,909.13,912.47,797.47,1463,1299.09,1063.95,788.27,341.65,681.37,917,1173.42,855.46,1163.52,971.21,938.98,1094.76,1053.39,795.23,372.24,703.74,917.2,1153.92,868.89,1020.28,1142.89,819.36,1204.55,1135.52,836.67,367.5,695.03,819.18,925.59,797.49,876.53,957.05,697.09,1083.65,904.5,412.86,762.16,1048.13,699.73,1220.36,1128.4,1063.48,960.93,707.62,820.91,816,799.75,302.43,677.74
"05/2017",790.94,995.26,732.6,927.36,1013.77,655.93,974.48,981.82,761.31,305.47,651.67,1021.8,1230.35,984.9,1248.75,1215.89,836.03,1583.61,1288.44,1372.68,992.31,463.28,803.28,815.67,1016,788.88,990.66,1052.1,691.46,1078.37,1010.16,868.02,429.94,668.14,990.68,1182.29,967.27,1369.73,1004.27,812.4,1540,1609.27,1271.55,815.05,553,843.33,821.79,922.49,797.28,928.12,921.64,777.43,1332.24,1224.26,1016.72,795.6,340.86,640.32,916.46,1220.49,839.3,1265.99,982.49,917.16,1055.65,1039.49,793.19,383.41,693.47,901.78,1188.76,842,1096.11,1153.09,795.04,1121.08,1097.4,837.63,362.7,684.25,820.18,924.67,795.93,880.5,953.67,697.2,1018.4,910.15,436.39,758.27,1043.45,697,1246.57,1132.57,1050.87,945.44,707.87,785.4,810.69,792.91,313.65,682.06
"06/2017",784.37,990.78,726.12,901.94,1019.07,659.57,952.88,970.72,760.64,308.11,651.41,1021.34,1243.38,982.8,1261.01,1229.07,834.25,1587.14,1297.05,1359.17,993.28,461.38,806.61,807.15,1002.96,779.89,972.66,1042.03,690.8,1042.41,1009,853.11,421.4,659.68,991.6,1190.78,967.59,1373.01,1011.52,811.52,1531.06,1606.88,1272.1,816.32,537.98,835.85,820.31,932.15,793.81,947.1,928.36,771.52,1403.19,1235,1016.86,774.48,346.9,641.51,924.29,1204.88,849.9,1263.53,940.45,929.75,1066.23,1053.49,810.55,373.98,703.99,898.94,1184.47,837.98,1105.95,1134.76,791.24,1110.23,1090.65,834.34,361.81,687.94,810.15,929.01,785.45,890.81,954.24,689.9,1012.35,905.18,441.05,769.7,1062.05,706.88,1188.47,1157.87,1136.25,952.16,707.04,767.18,815.86,798.13,317.07,671.3
"07/2017",803.58,988.95,751.85,922.47,1008.72,669.86,970.28,1017.79,783.89,311.52,655.31,1059.32,1260.87,1023.4,1275.01,1248,865.18,1634.38,1374.13,1425.08,1029,478.59,848.54,829.73,1023.49,802.73,995.4,1063.08,715.79,1097.68,1044.48,871.56,425.72,663.34,1014.03,1195.48,993.01,1376.77,1009.21,826.9,1574.73,1687.98,1321.99,825.6,542.54,846.54,839.69,935.83,817.49,950.45,927.79,788.2,1510.2,1291.65,1047.55,786.54,350.85,663.1,941.9,1234.22,863.59,1280.1,961.2,950.27,1145.28,1047.6,815.33,368.24,753.74,930.75,1216.94,871.15,1130.47,1160.08,816.02,1172.54,1144.96,853.25,362.81,699.13,825.25,925.7,803.11,891.09,952.32,704.26,1035.98,909.19,450.94,784.81,1063.48,722.08,1214.24,1153.33,1115.38,953.98,706.32,800.02,832.36,824.31,325.22,675.01
